"film_id","title","description","release_year","language_id","original_language_id","rental_duration","rental_rate","length","replacement_cost","rating","special_features","last_update","actor_id","film_id","last_update","actor_id","first_name","last_name","last_update","film_id","category_id","last_update","film_id","title","description","inventory_id","film_id","store_id","last_update","rental_id","rental_date","inventory_id","customer_id","return_date","staff_id","last_update"
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,"2006",1,,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2021-03-06 15:52:00",1,1,"2021-03-06 15:52:45",1,PENELOPE,GUINESS,"2021-03-06 15:51:59",1,6,"2021-03-06 15:53:28",,,,,,,,,,,,,,
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,"2006",1,,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2021-03-06 15:52:00",10,1,"2021-03-06 15:52:46",10,CHRISTIAN,GABLE,"2021-03-06 15:51:59",1,6,"2021-03-06 15:53:28",,,,,,,,,,,,,,
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,"2006",1,,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2021-03-06 15:52:00",20,1,"2021-03-06 15:52:49",20,LUCILLE,TRACY,"2021-03-06 15:51:59",1,6,"2021-03-06 15:53:28",,,,,,,,,,,,,,
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,"2006",1,,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2021-03-06 15:52:00",30,1,"2021-03-06 15:52:51",30,SANDRA,PECK,"2021-03-06 15:51:59",1,6,"2021-03-06 15:53:28",,,,,,,,,,,,,,
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,"2006",1,,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2021-03-06 15:52:00",40,1,"2021-03-06 15:52:53",40,JOHNNY,CAGE,"2021-03-06 15:51:59",1,6,"2021-03-06 15:53:28",,,,,,,,,,,,,,
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,"2006",1,,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2021-03-06 15:52:00",53,1,"2021-03-06 15:52:56",53,MENA,TEMPLE,"2021-03-06 15:51:59",1,6,"2021-03-06 15:53:28",,,,,,,,,,,,,,
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,"2006",1,,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2021-03-06 15:52:00",108,1,"2021-03-06 15:53:08",108,WARREN,NOLTE,"2021-03-06 15:51:59",1,6,"2021-03-06 15:53:28",,,,,,,,,,,,,,
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,"2006",1,,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2021-03-06 15:52:00",162,1,"2021-03-06 15:53:20",162,OPRAH,KILMER,"2021-03-06 15:52:00",1,6,"2021-03-06 15:53:28",,,,,,,,,,,,,,
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,"2006",1,,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2021-03-06 15:52:00",188,1,"2021-03-06 15:53:25",188,ROCK,DUKAKIS,"2021-03-06 15:52:00",1,6,"2021-03-06 15:53:28",,,,,,,,,,,,,,
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,"2006",1,,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2021-03-06 15:52:00",198,1,"2021-03-06 15:53:27",198,MARY,KEITEL,"2021-03-06 15:52:00",1,6,"2021-03-06 15:53:28",,,,,,,,,,,,,,
